player_name,total_runs,total_matches,total_innings,total_not_outs,average,total_balls_faced,strike_rate,hundreds,fifties,fours,sixes
Aakash Chopra,53,7,6,0,9.7,71,69.33,0,0,7,0
Aaron Finch,2091,92,90,7,22.63,1631,119.69,0,15,214,78
AB de Villiers,4697,169,157,36,37.08,3048,147.29,2,37,374,239
Abdul Basith,1,1,1,1,0,1,100,0,0,0,0
Abdul Samad,577,50,40,10,19.4,395,131.2,0,0,37,36
Abdur Razzak,0,1,1,1,0,2,0,0,0,0,0
Abhijeet Tomar,4,1,1,0,4,8,50,0,0,1,0
Abhimanyu Mithun,34,14,8,3,5.33,26,120,0,0,4,1
Abhinav Manohar,231,19,15,1,13.83,174,112.53,0,0,21,10
Abhinav Mukund,19,3,2,0,9.5,22,45.24,0,0,1,0
Abhishek Jhunjhunwala,217,21,16,3,12.44,210,86.03,0,1,19,5
Abhishek Nayar,672,60,50,12,17.89,577,107.82,0,0,55,20
Abhishek Raut,194,22,16,7,22.5,167,115.99,0,0,13,7
Abhishek Sharma,1377,63,61,7,25.9,887,147.09,0,7,128,73
Abishek Porel,360,18,16,2,20.48,236,132.98,0,2,37,15
Abu Nechim,14,7,4,3,5,6,300,0,0,3,0
Adam Gilchrist,2069,80,80,4,28.13,1495,137.35,2,11,239,92
Adam Milne,23,8,6,2,5.75,29,76.22,0,0,0,1
Adam Voges,181,9,7,3,45.25,143,126.57,0,0,15,3
Adam Zampa,15,17,5,0,2.78,24,44.64,0,0,1,0
Adil Rashid,22,2,2,0,11,16,137.5,0,0,2,1
Aditya Dole,34,3,2,0,17,22,154.54,0,0,3,1
Aditya Tare,339,35,28,4,11.64,273,104.64,0,1,40,11
Adrian Barath,42,3,3,1,21,42,100,0,0,5,1
Aiden Blizzard,120,6,6,0,20,87,137.93,0,1,21,2
Aiden Markram,995,44,42,9,30.96,767,127.98,0,5,73,35
Ajantha Mendis,3,9,3,1,0.67,6,50,0,0,0,0
Ajinkya Rahane,4642,185,171,17,26.4,3761,115.79,2,30,478,103
Ajit Agarkar,179,38,21,11,20.56,154,112.55,0,0,13,5
Ajit Chandila,4,8,1,1,0,6,66.66,0,0,0,0
Akash Deep,19,3,2,1,17,10,156.25,0,0,2,1
Akash Madhwal,4,5,1,1,NULL,5,80,0,0,0,0
Akeal Hosein,16,1,1,1,NULL,10,160,0,0,1,1
Akila Dananjaya,4,1,1,1,0,5,80,0,0,0,0
Akshath Reddy,164,12,10,0,18.67,160,106.91,0,0,15,2
Akshdeep Nath,90,14,10,0,6.97,98,62.58,0,0,7,2
Albie Morkel,974,91,68,28,28.23,686,141.59,0,3,61,55
Alex Carey,32,3,3,1,16,29,110.34,0,0,0,1
Alex Hales,148,6,6,0,24.66,118,125.42,0,0,13,6
Alfonso Thomas,19,4,2,0,9.5,15,126.66,0,0,1,1
Ali Murtaza,10,9,3,2,1.67,14,75,0,0,1,0
Alzarri Joseph,27,19,7,6,2.5,32,81.71,0,0,3,0
Aman Khan,115,12,10,1,9.38,104,137.79,0,1,8,6
Ambati Rayudu,4348,204,187,33,28.05,3409,128.29,1,22,359,173
Amit Mishra,381,154,57,25,12.03,419,81.04,0,0,31,5
Amit Paunikar,49,4,4,0,12.25,57,85.96,0,0,9,0
Amit Singh,2,14,4,1,0.75,7,29.17,0,0,0,0
Amit Uniyal,4,2,2,1,4,7,57.14,0,0,0,0
Andre Russell,2484,127,105,20,25.6,1420,152.8,0,11,170,209
Andrew Flintoff,62,3,3,1,31,53,116.98,0,0,5,2
Andrew McDonald,120,9,7,4,10.5,94,124.52,0,0,9,4
